DEPTH,RHOB,DT,GR,AI,AI_REL,PHIE,MD,VP
71.1,,522.9116,7.9146,3828563.75,-2601.3232,,71.1,15930501.894000001
71.25,,522.9042,7.6857,3828617.75,-2640.3372,,71.25,15930276.452999998
71.4,,522.8967,7.2571,3828672.0,-2640.3372,,71.4,15930047.9655
71.55,,522.8895,5.9009,3828725.0,-2640.3372,,71.55,15929828.6175
71.7,,522.8823,4.8933,3828778.25,-2640.3372,,71.7,15929609.2695
71.85,,522.8748,4.8933,3828832.75,-2640.3372,,71.85,15929380.782000002
72.0,,522.8674,5.0237,3828887.0,-2640.3372,,72.0,15929155.341
72.15,,522.8599,5.3642,3828941.5,-2640.3372,,72.15,15928926.853500001
72.3,,522.8525,5.59,3828995.75,-2640.3372,,72.3,15928701.4125
72.45,,522.8453,5.4013,3829049.0,-2640.3372,,72.45,15928482.064499998
72.6,,522.838,4.9627,3829102.5,-2640.3372,,72.6,15928259.669999998
72.75,,522.8306,4.6959,3829156.75,-2640.3372,,72.75,15928034.229
72.9,,522.8231,4.6959,3829211.0,-2640.3372,,72.9,15927805.741499998
73.05,,522.8157,4.8218,3829265.5,-2640.3372,,73.05,15927580.3005
73.2,,522.8083,5.0332,3829319.75,-2640.3372,,73.2,15927354.8595
73.35,,522.8008,5.0332,3829374.0,-2640.3372,,73.35,15927126.372
73.5,,522.7936,4.9839,3829427.5,-2640.3372,,73.5,15926907.023999998
73.65,,522.7863,4.8822,3829480.5,-2640.3372,,73.65,15926684.6295
73.8,,522.779,4.8822,3829534.5,-2640.3372,,73.8,15926462.235
73.95,,522.7715,5.0082,3829589.0,-2640.3372,,73.95,15926233.747499999
74.1,,522.764,5.4322,3829643.75,-2640.3372,,74.1,15926005.26
74.25,,522.7567,5.7428,3829697.75,-2640.3372,,74.25,15925782.865500001
74.4,,522.7492,5.8566,3829752.5,-2640.3372,,74.4,15925554.377999999
74.55,,522.7419,5.8832,3829806.25,-2640.3372,,74.55,15925331.9835
